السطر,الاسم 1,القيمة 1,الاسم 2,القيمة 2,الاسم 3,القيمة 3,الاسم 4,القيمة 4,الاسم 5,القيمة 5,الاسم 6,القيمة 6,الاسم 7,القيمة 7,الاسم 8,القيمة 8,الاسم 9,القيمة 9,الاسم 10,القيمة 10
الأول,الله,66,الرحمن,298,الرحيم,258,الملك,90,القدوس,170,السلام,131,المتعالي,551,الباري,213,المصور,336,الغفار,1281
الثاني,الواحد,19,المعز,117,المقيت,550,الحفيظ,998,القيوم,156,المحصي,148,المانع,161,المغني,1100,الحليم,88,المجيد,57
الثالث,الحي,18,الخافض,1481,المحيي,68,العليم,150,الواسع,137,الشهيد,319,الرءوف,286,النافع,201,الباسط,72,المتكبر,662
الرابع,المقتدر,744,الودود,20,الضار,1001,القاهر,306,الفاتح,489,البصير,302,مالك الملك,212,المقدم,184,الحسيب,80,المبدئ,56
الخامس,الهادي,20,الأحد,13,الباقي,113,الجامع,114,الآخر,801,الباعث,573,المميت,490,الظاهر,1106,الحكيم,78,البديع,86
السادس,الوهاب,14,غير واضح,48,العظيم,1020,القابض,903,الرقيب,312,الشكور,526,الرزاق,308,المعيد,124,الجليل,73,الوكيل,66
السابع,الوارث,707,الولي,46,الحميد,62,الكريم,270,المؤخر,846,الكبير,232,القوي,116,الصمد,134,الرافع,351,المنتقم,630
الثامن,المذل,770,الوالي,37,العدل,104,الصبور,298,المقسط,209,المهيمن,145,الرشيد,514,البر,202,الغني,1060,المجيب,55
التاسع,الخالق,731,الماجد,48,الحق,108,المؤمن,136,العزيز,94,الجبار,206,المتين,500,الباطن,62,ذو الجلال والإكرام,1100,التواب,409
العاشر,القادر,305,الغفور,1286,العلي,110,اللطيف,129,السميع,180,الخبير,812,النور,256,الحكيم,68,العفو,156,محمد,92
